id,NC_mice,NC_rats,MC_mice,MC_rats
415,15.029867,4.817364,14.15808,4.21391
416,15.028741,4.816043,14.156209,4.213876
417,15.02518,4.815699,14.154709,4.213571
418,15.0236,4.814542,14.154695,4.212788
419,15.019981,4.814284,14.149244,4.212502
420,15.018609,4.813882,14.146144,4.211956
421,15.016945,4.813381,14.145904,4.211896
422,15.01685,4.813029,14.14432,4.211885
423,15.016829,4.812513,14.143507,4.211747
424,15.016742,4.811921,14.142502,4.211631
425,15.015059,4.811069,14.140572,4.211333
426,15.012676,4.810795,14.139313,4.211012
427,15.01214,4.810149,14.135326,4.211004
428,15.00978,4.809152,14.134213,4.210315
429,15.009249,4.80662,14.134126,4.209822
430,15.009104,4.80633,14.129478,4.209736
431,15.008003,4.806234,14.127269,4.209025
432,15.004202,4.80616,14.127023,4.208581
433,14.998711,4.805388,14.126103,4.208478
434,14.996929,4.805126,14.124347,4.208099
435,14.996652,4.805025,14.124209,4.207272
436,14.993977,4.804796,14.123219,4.206445
437,14.992335,4.804652,14.120486,4.205754
438,14.991285,4.804469,14.119391,4.205724
439,14.990519,4.804418,14.119283,4.205612
440,14.989156,4.804403,14.116033,4.205579
441,14.988242,4.80422,14.115757,4.205055
442,14.987279,4.803485,14.115751,4.204663
443,14.986964,4.803049,14.114916,4.204025
444,14.98691,4.801535,14.113548,4.203688
445,14.985694,4.801319,14.11119,4.203229
446,14.983246,4.800341,14.111173,4.203118
447,14.978536,4.800123,14.105904,4.202959
448,14.972914,4.800043,14.105801,4.202801
449,14.972021,4.800018,14.104825,4.2028
450,14.965849,4.798744,14.101999,4.202797
451,14.963106,4.798683,14.095782,4.202538
452,14.956793,4.798645,14.094734,4.2025
453,14.956527,4.798081,14.093906,4.202229
454,14.955188,4.797953,14.091941,4.201728
455,14.953764,4.797824,14.08932,4.20111
456,14.952143,4.797665,14.08779,4.201046
457,14.951935,4.797389,14.085975,4.200946
458,14.94939,4.796104,14.084744,4.200592
459,14.948909,4.795394,14.084195,4.199718
460,14.946117,4.795285,14.081964,4.199382
461,14.945188,4.794894,14.080824,4.199117
462,14.943577,4.793981,14.080106,4.19873
463,14.943125,4.793841,14.078897,4.198387
464,14.941765,4.793733,14.078599,4.198267
465,14.940045,4.793338,14.077718,4.197889
466,14.938412,4.792307,14.075229,4.197748
467,14.937326,4.791858,14.074253,4.197275
468,14.936822,4.791447,14.071915,4.196813
469,14.935835,4.791274,14.070929,4.195638
470,14.935677,4.79101,14.069612,4.19551
471,14.934493,4.789919,14.067216,4.195462
472,14.933715,4.789425,14.065508,4.195163
473,14.928381,4.788402,14.064873,4.195054
474,14.927944,4.788099,14.064398,4.194842
475,14.927694,4.787691,14.062362,4.193745
476,14.926763,4.78729,14.061028,4.193451
477,14.926051,4.786672,14.060073,4.19342
478,14.921175,4.786517,14.059735,4.193336
479,14.919665,4.78648,14.059654,4.19314
480,14.916252,4.786335,14.058334,4.192838
481,14.914431,4.786009,14.052256,4.192571
482,14.912226,4.786008,14.051803,4.192106
483,14.908993,4.785348,14.050891,4.191935
484,14.907573,4.785083,14.050316,4.191925
485,14.90428,4.784718,14.050173,4.191881
486,14.902426,4.784569,14.049436,4.191741
487,14.899639,4.784509,14.04938,4.191409
488,14.898437,4.783951,14.048956,4.191082
489,14.896026,4.783929,14.048624,4.19099
490,14.894767,4.783359,14.046971,4.190421
491,14.891929,4.782984,14.046535,4.190413
492,14.891775,4.782491,14.045852,4.190338
493,14.89167,4.781954,14.045607,4.190208
494,14.891292,4.781933,14.043217,4.190123
495,14.889755,4.781798,14.041502,4.188828
496,14.886942,4.781446,14.041268,4.188824
497,14.885837,4.78076,14.040358,4.188628
498,14.88398,4.780527,14.040174,4.188264
499,14.881809,4.780189,14.034504,4.188099
500,14.881653,4.779941,14.032223,4.187731
501,14.879411,4.779706,14.031978,4.187594
502,14.879164,4.779336,14.030937,4.186692
503,14.878046,4.779238,14.030227,4.185451
504,14.877082,4.778082,14.028861,4.184894
505,14.8761,4.777995,14.024915,4.184765
506,14.876,4.776984,14.024685,4.184502
507,14.875443,4.776971,14.023921,4.184367
508,14.870719,4.776951,14.023215,4.184199
509,14.86987,4.776178,14.022608,4.18406
510,14.869783,4.775716,14.021429,4.183901
511,14.869755,4.775446,14.020365,4.183742
512,14.867933,4.77498,14.01942,4.183722
513,14.867414,4.774656,14.018975,4.183329
514,14.863656,4.774553,14.018918,4.18256
515,14.863087,4.774417,14.010697,4.182498
516,14.861786,4.774315,14.00576,4.181438
517,14.861245,4.774152,14.004551,4.181337
518,14.861021,4.773676,14.002422,4.181219
519,14.860565,4.773389,13.998322,4.181206
520,14.856359,4.773076,13.997721,4.181068
521,14.855428,4.773027,13.997172,4.181058
522,14.853583,4.772933,13.996854,4.180871
523,14.852979,4.772492,13.994807,4.180146
524,14.852042,4.772314,13.993855,4.180052
525,14.851111,4.772073,13.989188,4.179545
526,14.850766,4.771463,13.987371,4.179537
527,14.849686,4.769737,13.986922,4.178657
528,14.846377,4.769493,13.986764,4.178319
529,14.84615,4.769208,13.986513,4.178237
530,14.841904,4.76892,13.986186,4.178151
531,14.841067,4.768035,13.985419,4.177788
532,14.839344,4.767777,13.982698,4.176294
533,14.838819,4.767731,13.982697,4.176004
534,14.837909,4.76772,13.980691,4.175928
535,14.837712,4.767497,13.980545,4.175621
536,14.836604,4.767159,13.980256,4.175565
537,14.832906,4.767026,13.97964,4.175536
538,14.831916,4.766708,13.978803,4.175207
539,14.829706,4.766688,13.976548,4.175179
540,14.822119,4.766522,13.975316,4.174928
541,14.821213,4.766242,13.974679,4.174536
542,14.820582,4.765917,13.974578,4.174474
543,14.820428,4.76586,13.9745,4.174182
544,14.818618,4.765288,13.974146,4.173971
545,14.817974,4.765032,13.973547,4.173944
546,14.813478,4.765002,13.972612,4.17389
547,14.812841,4.764624,13.971399,4.173551
548,14.811154,4.763636,13.970431,4.173174
549,14.810371,4.763622,13.970196,4.172477
550,14.807388,4.763231,13.969046,4.172427
551,14.807375,4.762546,13.968157,4.171714
552,14.807048,4.762471,13.967458,4.17161
553,14.806627,4.762348,13.967366,4.171521
554,14.805431,4.761922,13.966319,4.17144
555,14.804634,4.761873,13.963802,4.17106
556,14.80343,4.761869,13.962781,4.170597
557,14.802787,4.761442,13.962169,4.170565
558,14.801929,4.760353,13.960085,4.170479
559,14.801483,4.760249,13.954032,4.168857
560,14.798518,4.760065,13.952717,4.168802
561,14.798388,4.759386,13.952491,4.168645
562,14.797765,4.759304,13.951059,4.168632
563,14.796677,4.759241,13.949119,4.168472
564,14.787559,4.758934,13.947737,4.166874
565,14.786472,4.758788,13.946764,4.166487
566,14.784773,4.758452,13.946642,4.166391
567,14.782652,4.757996,13.945277,4.166235
568,14.782178,4.757453,13.94258,4.165981
569,14.781925,4.757294,13.940487,4.165192
570,14.781888,4.757059,13.940465,4.164382
571,14.78076,4.756214,13.939253,4.164114
572,14.77869,4.756076,13.938153,4.16405
573,14.778171,4.755908,13.935097,4.16394
574,14.776562,4.754816,13.933774,4.1639
575,14.770697,4.75428,13.933639,4.163781
576,14.770341,4.751988,13.933439,4.163772
577,14.769971,4.751875,13.933328,4.163526
578,14.769572,4.751692,13.932903,4.16347
579,14.768682,4.75105,13.932768,4.162717
580,14.765534,4.750931,13.932744,4.162697
581,14.764626,4.750922,13.932341,4.162598
