id,michael,chengfang
591,14.750682,215.3822
592,14.74997,167.9935
593,14.747725,193.583
594,14.747691,215.4902
595,14.747498,185.4899
596,14.745564,179.5258
597,14.74076,190.4486
598,14.738224,187.7688
599,14.737567,220.7932
600,14.737272,194.4065
601,14.736892,189.201
602,14.736767,188.5002
603,14.734919,178.0494
604,14.73443,171.8891
605,14.732889,195.9572
606,14.731609,201.3567
607,14.730615,177.1893
608,14.729848,190.1556
609,14.729513,198.8027
610,14.728274,183.1037
611,14.728139,201.275
612,14.728002,207.9545
613,14.727841,175.8266
614,14.727672,200.1524
615,14.727343,206.6031
616,14.725821,191.096
617,14.725589,178.8503
618,14.725354,170.5446
619,14.724492,173.3593
620,14.724409,205.7888
621,14.724346,260.2387
622,14.724052,193.6782
623,14.723834,229.9985
624,14.72354,193.411
625,14.722016,170.8741
626,14.718999,221.2511
627,14.71805,202.4047
628,14.716205,222.2111
629,14.714964,204.2269
630,14.714243,207.8848
631,14.713258,184.7403
632,14.713009,236.952
633,14.712065,175.402
634,14.711866,265.015
635,14.711569,161.9621
636,14.71073,205.4485
637,14.707898,229.1726
638,14.707328,156.6266
639,14.706283,200.0144
640,14.704031,188.3415
641,14.703916,180.7233
642,14.702076,125.2541
643,14.701786,190.0619
644,14.70154,233.7821
645,14.699432,176.8926
646,14.698588,186.4233
647,14.697095,169.3784
648,14.695596,218.6931
649,14.693296,287.9113
650,14.692911,232.3479
651,14.691464,195.568
652,14.690757,167.0734
653,14.690205,201.2705
654,14.690103,285.3446
655,14.690043,179.3594
656,14.688959,201.7962
657,14.685937,197.7386
658,14.68555,183.6532
659,14.683251,173.2089
660,14.679874,187.4664
661,14.679744,289.308
662,14.678399,228.6566
663,14.677625,235.118
664,14.676145,205.6157
665,14.674599,179.6787
666,14.670119,183.1218
667,14.668491,222.9393
668,14.668059,214.8363
669,14.668002,182.3466
670,14.667944,165.3157
671,14.666557,211.3845
672,14.665641,199.6448
673,14.665243,185.7129
674,14.664867,178.4882
675,14.663843,204.7269
676,14.662238,191.4094
677,14.659478,197.4563
678,14.65824,197.0209
679,14.657312,184.1781
680,14.656985,215.3989
681,14.654402,206.2858
682,14.652612,244.8231
683,14.652143,233.9118
684,14.651695,191.5219
685,14.650131,171.4129
686,14.647852,241.9247
687,14.644288,187.3431
688,14.64371,195.663
689,14.642747,214.955
690,14.640598,183.8808
691,14.639165,161.8286
692,14.638897,187.046
693,14.637616,185.2839
694,14.637388,261.0567
695,14.63686,184.4294
696,14.636652,200.7809
697,14.635963,165.7414
698,14.635814,200.2863
699,14.630041,199.1101
700,14.626953,148.1819
701,14.625601,186.4266
702,14.625547,226.2174
703,14.624968,204.1133
704,14.623959,194.3133
705,14.623847,136.4306
706,14.623136,186.2636
707,14.622242,188.7634
708,14.62132,181.2607
709,14.620865,206.3848
710,14.619159,175.3357
711,14.618919,176.262
712,14.617699,188.6058
713,14.616472,200.4965
714,14.61533,194.9913
715,14.615038,200.6625
716,14.613122,189.6537
717,14.612996,156.9349
718,14.611673,176.2256
719,14.609805,174.9373
720,14.608748,206.8453
721,14.607756,165.4085
722,14.607284,235.4831
723,14.605795,188.0563
724,14.605541,185.1688
725,14.604647,152.6207
726,14.604288,191.9616
727,14.603215,229.3276
728,14.601496,241.4224
729,14.60005,205.2227
730,14.598828,218.8652
731,14.596823,224.6795
732,14.596452,157.9382
733,14.595843,154.8223
734,14.59424,226.1745
735,14.592489,230.2715
736,14.592336,145.5257
737,14.591663,156.0331
738,14.589174,188.4958
739,14.587973,178.5346
740,14.586974,184.5107
741,14.584516,182.6789
742,14.584156,179.9605
743,14.584062,154.8668
744,14.581412,234.9625
745,14.581281,202.3636
746,14.58065,218.4287
747,14.580287,186.8577
748,14.579357,189.5449
749,14.577904,200.7014
750,14.577115,173.1989
751,14.575437,199.3102
752,14.572908,180.6646
753,14.569539,152.9782
754,14.568888,193.2262
755,14.567902,244.1337
756,14.567788,179.858
757,14.567549,210.6848
758,14.566586,182.486
759,14.564957,172.1998
760,14.564798,148.7746
761,14.563862,199.8089
762,14.563583,197.7148
763,14.562628,274.3722
764,14.560866,206.7181
765,14.559736,173.039
766,14.558208,187.4633
767,14.557663,197.0256
768,14.557002,199.7608
769,14.556196,185.7106
770,14.556167,203.0142
771,14.556022,168.7246
772,14.555524,220.6624
773,14.553558,185.3286
774,14.552878,328.8784
775,14.5519,185.7132
776,14.55003,182.8728
777,14.547345,188.0135
778,14.547276,168.9946
779,14.546847,157.788
780,14.539917,187.3797
781,14.538648,294.5298
782,14.538232,178.7399
783,14.536747,180.4604
784,14.53388,203.7479
785,14.533609,218.3292
786,14.532291,211.0937
787,14.532267,218.8884
788,14.530961,168.4502
789,14.528029,249.5285
790,14.527331,247.9197
791,14.526587,261.076
792,14.526349,174.8394
793,14.525539,217.1898
794,14.525398,202.4764
795,14.524422,210.0535
796,14.523803,219.7661
797,14.522634,217.6264
798,14.522267,193.0662
799,14.520249,234.4926
800,14.519852,188.0523
801,14.518087,220.3589
802,14.517561,219.5619
803,14.516445,238.4843
804,14.516401,198.7503
805,14.515291,203.0817
806,14.513623,191.7466
807,14.513536,155.9498
808,14.512378,211.2065
809,14.512202,179.3179
810,14.509531,187.9455
811,14.509516,262.4395
812,14.508348,193.7712
813,14.507508,201.5827
814,14.504855,195.1078
815,14.503974,164.7197
816,14.503146,211.167
817,14.501493,191.3757
818,14.501246,210.142
819,14.500745,187.3213
820,14.500733,176.208
821,14.500277,178.7549
822,14.498925,185.5331
823,14.498162,223.5387
824,14.498077,203.6406
825,14.495999,190.7901
826,14.495396,180.9254
827,14.494662,193.1257
828,14.494101,181.9053
829,14.4937,158.4087
830,14.493178,179.5846
831,14.490978,209.0894
832,14.490686,204.2469
833,14.49021,180.3855
834,14.489664,222.6675
835,14.488779,192.6147
836,14.488642,180.3277
837,14.488234,197.312
838,14.487962,294.0637
839,14.486587,159.7188
840,14.48653,200.7007
841,14.486433,203.6365
842,14.484736,216.313
843,14.484418,225.1142
844,14.483608,253.7367
845,14.482258,256.1524
846,14.480225,192.1521
847,14.479876,191.7648
848,14.477716,182.2058
849,14.477305,153.2012
850,14.475799,201.4957
851,14.474267,201.8524
852,14.473977,186.621
853,14.472891,199.0518
854,14.472526,237.7603
855,14.472159,200.3789
856,14.470584,188.5148
857,14.469492,221.3445
858,14.464918,187.6365
859,14.464248,187.3687
860,14.464079,175.4551
861,14.463815,206.972
862,14.463138,209.3068
863,14.462737,224.2635
864,14.461338,234.5418
865,14.460985,179.7831
866,14.459387,185.2168
867,14.459229,199.2335
868,14.458174,234.8141
869,14.456614,243.3966
870,14.456336,225.1186
871,14.455966,245.8216
872,14.453302,157.6524
873,14.451482,229.4925
874,14.450578,197.6271
875,14.450007,168.0221
876,14.449901,160.5751
877,14.448998,193.1399
878,14.448261,233.9289
879,14.448043,202.2526
880,14.447081,180.979
881,14.44689,199.8981
882,14.445959,189.3724
883,14.445462,195.9794
884,14.445278,188.4826
885,14.445029,245.6868
886,14.444766,189.7055
887,14.444697,256.1042
888,14.444167,191.3877
889,14.444101,162.4821
890,14.443703,201.583
891,14.442874,234.5204
892,14.441077,202.5048
893,14.441068,208.3071
894,14.439431,180.2786
895,14.439213,191.5508
896,14.438849,177.2872
897,14.438152,287.062
898,14.437331,141.0361
899,14.435239,195.0781
900,14.43516,190.7752
901,14.431667,187.3965
902,14.431631,202.517
903,14.430616,160.2393
904,14.430281,189.8966
905,14.429657,262.2271
906,14.428043,191.444
907,14.427434,174.4499
908,14.427431,194.0897
909,14.426337,156.9464
910,14.426146,224.4509
911,14.425873,191.0772
912,14.425521,198.53
913,14.424097,187.9246
914,14.422023,184.8082
915,14.421924,192.8839
916,14.42075,197.4983
917,14.419675,195.5606
918,14.418501,273.9527
919,14.418265,174.1476
920,14.418095,234.5873
921,14.417334,204.0018
922,14.416366,169.3205
923,14.414522,183.6766
924,14.413556,226.4324
925,14.412902,248.367
926,14.411829,184.9139
927,14.411734,164.1452
928,14.411223,170.5544
929,14.410406,204.3069
930,14.410021,188.0043
931,14.409759,239.5718
932,14.40823,188.155
933,14.408161,200.0375
934,14.407092,208.732
935,14.405887,218.3223
936,14.405413,175.4971
937,14.404928,172.9196
938,14.404723,176.6277
939,14.404635,205.6946
940,14.40448,174.0604
941,14.402787,232.9731
942,14.401929,198.5876
943,14.40103,248.0635
944,14.399146,177.6536
945,14.398595,237.0776
